observation_date,calendar_year,team_abbreviation,team_name,conference,team_strength_index,is_game_day,opponent_abbreviation,points_for,points_against,win_flag,point_differential
2022-01-01,2022,BOS,Boston Celtics,Eastern,110.12,1,MIA,116,105,1,11
2022-01-01,2022,MIA,Miami Heat,Eastern,105.68,0,,,,,
2022-01-01,2022,MIL,Milwaukee Bucks,Eastern,108.18,0,,,,,
2022-01-01,2022,DEN,Denver Nuggets,Western,105.36,1,GSW,105,126,0,-21
2022-01-01,2022,GSW,Golden State Warriors,Western,105.28,0,,,,,
2022-01-01,2022,LAL,Los Angeles Lakers,Western,100.75,0,,,,,
2022-01-02,2022,BOS,Boston Celtics,Eastern,108.49,0,,,,,
2022-01-02,2022,MIA,Miami Heat,Eastern,105.79,1,MIL,102,101,1,1
2022-01-02,2022,MIL,Milwaukee Bucks,Eastern,108.12,0,,,,,
2022-01-02,2022,DEN,Denver Nuggets,Western,106.80,0,,,,,
2022-01-02,2022,GSW,Golden State Warriors,Western,103.43,1,LAL,120,129,0,-9
2022-01-02,2022,LAL,Los Angeles Lakers,Western,100.22,0,,,,,
2022-01-03,2022,BOS,Boston Celtics,Eastern,108.78,0,,,,,
2022-01-03,2022,MIA,Miami Heat,Eastern,105.92,0,,,,,
2022-01-03,2022,MIL,Milwaukee Bucks,Eastern,108.93,1,DEN,128,109,1,19
2022-01-03,2022,DEN,Denver Nuggets,Western,107.69,0,,,,,
2022-01-03,2022,GSW,Golden State Warriors,Western,105.26,0,,,,,
2022-01-03,2022,LAL,Los Angeles Lakers,Western,100.34,1,BOS,107,114,0,-7
2022-01-04,2022,BOS,Boston Celtics,Eastern,109.50,1,MIL,100,99,1,1
2022-01-04,2022,MIA,Miami Heat,Eastern,106.22,0,,,,,
2022-01-04,2022,MIL,Milwaukee Bucks,Eastern,107.40,0,,,,,
2022-01-04,2022,DEN,Denver Nuggets,Western,108.86,1,LAL,128,116,1,12
2022-01-04,2022,GSW,Golden State Warriors,Western,105.78,0,,,,,
2022-01-04,2022,LAL,Los Angeles Lakers,Western,100.38,0,,,,,
2022-01-05,2022,BOS,Boston Celtics,Eastern,109.01,0,,,,,
2022-01-05,2022,MIA,Miami Heat,Eastern,105.29,1,DEN,121,123,0,-2
2022-01-05,2022,MIL,Milwaukee Bucks,Eastern,107.25,0,,,,,
2022-01-05,2022,DEN,Denver Nuggets,Western,106.18,0,,,,,
2022-01-05,2022,GSW,Golden State Warriors,Western,106.11,1,BOS,121,108,1,13
2022-01-05,2022,LAL,Los Angeles Lakers,Western,100.23,0,,,,,
2022-01-06,2022,BOS,Boston Celtics,Eastern,108.38,0,,,,,
2022-01-06,2022,MIA,Miami Heat,Eastern,107.20,0,,,,,
2022-01-06,2022,MIL,Milwaukee Bucks,Eastern,105.70,1,GSW,115,129,0,-14
2022-01-06,2022,DEN,Denver Nuggets,Western,107.11,0,,,,,
2022-01-06,2022,GSW,Golden State Warriors,Western,105.40,0,,,,,
2022-01-06,2022,LAL,Los Angeles Lakers,Western,100.34,1,MIA,102,100,1,2
2022-01-07,2022,BOS,Boston Celtics,Eastern,109.12,1,DEN,114,99,1,15
